Company,Contact Name,Contact Email,Contact Phone,Street Address,City,State,Country,Slips,Stage,Source,Segment,Tags,Notes,Next Step,Deal Amount,Probability %,Hardware $,Software $,Services $,Value Driver,Est. Pedestals,Est. Slips Impacted,Est. Close Date,Competitors,Industry
## GUIDE — Valid values: Stage → new | contacted | meeting_scheduled | qualified | proposal_sent | negotiation | lost | Segment → marina | yacht_club | dry_stack | port_harbor | municipality | Slips → number | Probability → 0-100 | Country → Canada | State → British Columbia ##,,,,,,,,,,,,,,,,,,,,,,,,
Coal Harbour Marina,Marina Manager,,604-681-5351,1525 Coal Harbour Quay,Vancouver,British Columbia,Canada,200,new,BC Shore Power List,marina,shore_power;vancouver;priority,Full-service marina on Burrard Inlet. 200 slips with shore power at all berths. Urban location near convention centre.,Reach out to marina manager and confirm shore power amperage (30A/50A) and metering setup.,,,,,,,Coast-wide revenue potential — high traffic volume,50,200,,,Marine
Granville Island Marina,Harbour Master,,604-685-5244,1253 Johnston Street,Vancouver,British Columbia,Canada,200,new,BC Shore Power List,marina,shore_power;vancouver;granville_island,Public marina operated by Parks Canada under Granville Island management. Shore power at all slips. High foot traffic / tourism context.,Identify federal procurement contact and confirm electrical infrastructure specs.,,,,,,,High public visibility — strong pilot candidate,50,200,,,Marine
False Creek Yacht Club,Commodore,,604-682-3292,1661 Granville Street,Vancouver,British Columbia,Canada,550,new,BC Shore Power List,yacht_club,shore_power;vancouver;yacht_club,Private yacht club on False Creek. 550 slips. Shore power throughout. Member-owned — procurement decision requires board approval.,Identify commodore and board contact for member vote cycle timing.,,,,,,,Large slip count — high hardware revenue potential,138,550,,,Marine
Thunderbird Marina,General Manager,,604-985-1533,194 Brooksbank Avenue,North Vancouver,British Columbia,Canada,560,new,BC Shore Power List,marina,shore_power;north_vancouver;large_marina,One of the largest marinas in Metro Vancouver. 560 slips with shore power. Active live-aboard community. Strong metering ROI case.,Schedule site visit to assess pedestal condition and metering readiness.,,,,,,,Live-aboard density drives metering ROI,140,560,,,Marine
Reed Point Marina,Marina Manager,,604-937-1600,850 Barnet Highway,Port Moody,British Columbia,Canada,340,new,BC Shore Power List,marina,shore_power;port_moody;metro_vancouver,Modern marina at head of Burrard Inlet. 340 slips with full shore power. Recently renovated infrastructure.,Confirm upgrade timeline and whether new pedestals are in capex plan.,,,,,,,New infrastructure — high receptivity to smart metering,85,340,,,Marine
Steveston Harbour Authority,Harbour Master,,604-272-5539,3711 Moncton Street,Richmond,British Columbia,Canada,900,new,BC Shore Power List,port_harbor,shore_power;richmond;commercial;large_slip_count,Public harbour authority managing 900+ slips. Mix of commercial fishing and recreational. Shore power on recreational side. City of Richmond jurisdiction.,Contact harbour authority CEO and identify capital budget cycle.,,,,,,,Large public harbour — municipal procurement pathway,225,900,,,Marine
Maple Bay Marina,General Manager,,250-746-8482,6145 Genoa Bay Road,Duncan,British Columbia,Canada,470,new,BC Shore Power List,marina,shore_power;vancouver_island;cowichan,Full-service marina on Vancouver Island with 470 slips. Shore power standard at all berths. Active haul-out and service yard.,Contact GM and propose VoltSafe demo at existing pedestal locations.,,,,,,,Service-yard crossover — hardware + services opportunity,118,470,,,Marine
Silva Bay Marina,Dock Master,,250-247-8931,3383 Coast Road,Gabriola Island,British Columbia,Canada,120,new,BC Shore Power List,marina,shore_power;gulf_islands;gabriola,Island marina serving Gulf Islands boating traffic. 120 slips. Shore power standard. Remote location — metering ROI pitch around energy cost visibility.,Arrange site visit during summer boating season.,,,,,,,Gulf Islands gateway — good pilot reference site,30,120,,,Marine
Canoe Cove Marina,General Manager,,250-656-5566,2300 Canoe Cove Road,North Saanich,British Columbia,Canada,400,new,BC Shore Power List,marina,shore_power;saanich_peninsula;victoria,Well-established marina near Sidney. 400 slips plus boatyard. Shore power at all slips. Long-standing ownership — familiar with electrical infrastructure.,Contact GM and position around metering for liveaboards and seasonal boaters.,,,,,,,Boatyard integration — premium upsell potential,100,400,,,Marine
Van Isle Marina,Marina Manager,,250-656-1138,2320 Harbour Road,Sidney,British Columbia,Canada,500,new,BC Shore Power List,marina,shore_power;sidney;saanich_peninsula;large_marina,Large full-service marina adjacent to Victoria International Airport ferry corridor. 500 slips. Shore power at all berths. Active charter fleet.,Identify fleet manager and dock master for shore power usage data.,,,,,,,Charter fleet density — metering + billing opportunity,125,500,,,Marine
